Player,Opponent,DVP_Rating,Avg_Points,Games_Played,Consistency,Position
Izak Rankine,MEL,1.0,65.0,1,0.0,Midfielder
Izak Rankine,CAR,2.1,43.3,3,0.0,Midfielder
Izak Rankine,COL,3.0,46.3,4,0.0,Midfielder
Izak Rankine,ESS,1.5,45.5,2,0.0,Midfielder
Izak Rankine,FRE,1.7,54.5,2,0.0,Midfielder
Izak Rankine,GCS,5.1,64.3,4,0.46,Midfielder
Izak Rankine,GEE,1.9,59.5,2,0.0,Midfielder
Izak Rankine,GWS,1.2,38.0,2,0.0,Midfielder
Izak Rankine,HAW,5.6,64.3,4,0.74,Midfielder
Izak Rankine,RIC,1.1,35.0,2,0.0,Midfielder
Izak Rankine,STK,2.3,48.3,3,0.0,Midfielder
Izak Rankine,SYD,3.4,71.0,3,0.0,Midfielder
Izak Rankine,WCE,4.0,67.3,3,0.45,Midfielder
Izak Rankine,ADE,2.0,63.0,2,0.0,Midfielder
Izak Rankine,BRL,2.6,40.3,3,0.73,Midfielder
Izak Rankine,NTH,3.9,61.3,4,0.0,Midfielder
Izak Rankine,PTA,1.8,55.5,2,0.0,Midfielder
Izak Rankine,WBD,3.6,56.5,4,0.0,Midfielder
Jake Soligo,MEL,5.9,90.0,3,0.73,Midfielder
Jake Soligo,CAR,3.6,51.8,4,0.17,Midfielder
Jake Soligo,COL,7.2,65.5,8,0.28,Midfielder
Jake Soligo,ESS,5.4,76.3,4,0.2,Midfielder
Jake Soligo,FRE,4.2,61.8,4,0.14,Midfielder
Jake Soligo,GCS,7.6,70.8,6,0.24,Midfielder
Jake Soligo,GEE,7.4,69.0,5,0.69,Midfielder
Jake Soligo,GWS,4.4,68.0,3,0.71,Midfielder
Jake Soligo,HAW,8.1,70.6,7,0.39,Midfielder
Jake Soligo,RIC,5.0,75.7,3,0.76,Midfielder
Jake Soligo,STK,7.5,91.0,4,0.56,Midfielder
Jake Soligo,SYD,8.9,82.2,5,0.72,Midfielder
Jake Soligo,WCE,7.8,66.6,7,0.43,Midfielder
Jordan Dawson,MEL,5.2,81.0,4,0.0,Midfielder
Jordan Dawson,CAR,4.8,74.3,4,0.0,Midfielder
Jordan Dawson,COL,4.3,66.5,4,0.0,Midfielder
Jordan Dawson,ESS,3.7,77.7,3,0.0,Midfielder
Jordan Dawson,FRE,4.5,94.7,3,0.0,Midfielder
Jordan Dawson,GCS,6.4,101.8,4,0.0,Midfielder
Jordan Dawson,GEE,4.9,77.3,4,0.0,Midfielder
Jordan Dawson,GWS,1.4,90.0,1,0.0,Midfielder
Jordan Dawson,HAW,4.4,68.0,4,0.0,Midfielder
Jordan Dawson,RIC,4.4,92.0,3,0.0,Midfielder
Jordan Dawson,STK,5.0,78.3,4,0.0,Midfielder
Jordan Dawson,SYD,10.0,94.0,5,0.84,Midfielder
Jordan Dawson,WCE,3.6,74.3,3,0.0,Midfielder
Jordan Dawson,ADE,2.4,74.5,2,0.0,Midfielder
Jordan Dawson,BRL,2.0,62.0,2,0.0,Midfielder
Jordan Dawson,NTH,4.3,89.7,3,0.0,Midfielder
Jordan Dawson,PTA,3.9,81.7,3,0.0,Midfielder
Jordan Dawson,WBD,3.2,67.0,3,0.0,Midfielder
James Peatling,MEL,1.6,133.0,1,0.0,Midfielder
James Peatling,CAR,2.3,35.5,4,0.0,Midfielder
James Peatling,COL,1.1,70.0,1,0.0,Midfielder
James Peatling,ESS,1.0,9.0,1,0.0,Midfielder
James Peatling,FRE,2.0,31.3,3,0.65,Midfielder
James Peatling,GCS,2.2,46.3,3,0.0,Midfielder
James Peatling,GEE,2.7,34.8,4,0.44,Midfielder
James Peatling,HAW,4.9,82.7,3,0.49,Midfielder
James Peatling,RIC,1.1,33.5,2,0.0,Midfielder
James Peatling,STK,1.5,40.0,2,0.4,Midfielder
James Peatling,SYD,5.8,71.2,5,0.02,Midfielder
James Peatling,WCE,3.2,66.0,3,0.0,Midfielder
James Peatling,ADE,1.0,42.0,1,0.0,Midfielder
James Peatling,BRL,9.5,74.0,6,0.69,Midfielder
James Peatling,NTH,1.3,83.0,1,0.0,Midfielder
James Peatling,PTA,1.8,55.0,2,0.0,Midfielder
James Peatling,WBD,1.8,37.3,3,0.0,Midfielder
Ben Keays,MEL,10.0,93.6,7,0.42,Forward
Ben Keays,CAR,10.0,86.6,7,0.55,Forward
Ben Keays,COL,7.1,71.6,10,0.08,Forward
Ben Keays,ESS,1.0,49.0,1,0.0,Forward
Ben Keays,FRE,10.0,85.0,6,0.46,Forward
Ben Keays,GCS,9.8,81.4,8,0.5,Forward
Ben Keays,GEE,8.6,76.9,7,0.34,Forward
Ben Keays,GWS,10.0,90.9,7,0.76,Forward
Ben Keays,HAW,1.0,52.0,1,0.0,Forward
Ben Keays,RIC,7.9,77.0,6,0.15,Forward
Ben Keays,STK,10.0,91.7,6,0.65,Forward
Ben Keays,SYD,8.6,77.2,6,0.33,Forward
Ben Keays,WCE,1.8,55.5,2,0.0,Forward
Reilly O'Brien,MEL,9.2,77.3,7,0.49,Ruck
Reilly O'Brien,CAR,10.0,80.6,8,0.63,Ruck
Reilly O'Brien,COL,10.0,83.3,10,0.84,Ruck
Reilly O'Brien,ESS,10.0,86.5,8,0.59,Ruck
